"order_id","article","id","product_group","length","width","height","weight","sequence"
"11","roll-00100456","00100456","bakery products","580","390","260","9.387","1"
"11","bread roll-00108100","00108100","bakery products","590","390","270","8.01","2"
"11","pastry w. fruit-00104306","00104306","confectionery","595","400","300","9.8","3"
"11","bread roll-00109198","00109198","bakery products","560","390","140","9.54","4"
"11","roll-00111753","00111753","bakery products","590","395","295","6.614","5"
"11","roll-00104731","00104731","bakery products","590","400","290","10.0","6"
"11","cutlet-00108825","00108825","instant meals","580","380","125","7.7","7"
"11","bread roll-00106669","00106669","bakery products","600","400","290","10.81","8"
"11","bread roll-00106669","00106669","bakery products","600","400","290","10.81","9"
"11","bread roll-00110918","00110918","bakery products","590","395","295","9.4","10"
"11","bread roll-00110918","00110918","bakery products","590","395","295","9.4","11"
"11","rye bread roll-00110731","00110731","bakery products","590","395","295","9.8","12"
"11","baguette-00101167","00101167","bakery products","570","380","280","9.01","13"
"11","bread roll-00102125","00102125","bakery products","600","400","220","8.904","14"
"11","donut-00101843","00101843","confectionery","600","400","220","6.296","15"
