"order_id","article","id","product_group","length","width","height","weight","sequence"
"6","pastry w. fruit-00104306","00104306","confectionery","595","400","300","9.8","1"
"6","bread roll-00108100","00108100","bakery products","590","390","270","8.01","2"
"6","cutlet-00108825","00108825","instant meals","580","380","125","7.7","3"
"6","donut-00102055","00102055","confectionery","585","395","265","7.208","4"
"6","bread roll-00102125","00102125","bakery products","600","400","220","8.904","5"
"6","baguette-00101167","00101167","bakery products","570","380","280","9.01","6"
"6","roll-00104731","00104731","bakery products","590","400","290","10.0","7"
"6","roll-00111753","00111753","bakery products","590","395","295","6.614","8"
"6","ciabatta-00107296","00107296","bakery products","595","400","300","8.586","9"
"6","snack baguette-00104442","00104442","snack","590","380","230","6.36","10"
"6","bread roll-00106669","00106669","bakery products","600","400","290","10.81","11"
"6","pizza roll-00102123","00102123","pizza","590","395","295","9.8","12"
"6","roll-00100456","00100456","bakery products","580","390","260","9.387","13"
"6","rye bread roll-00110731","00110731","bakery products","590","395","295","9.8","14"
