"order_id","article","id","product_group","length","width","height","weight","sequence"
"8","soup-00107893","00107893","side dish","590","190","220","7.1","1"
"8","pizza w. salami-00112510","00112510","pizza","600","190","160","5.53","2"
"8","vegetables-00111710","00111710","vegetables","350","260","190","10.65","3"
"8","dessert-00104636","00104636","candy","490","130","210","5.11","4"
"8","instant meal-00106401","00106401","instant meals","560","170","200","4.71","5"
"8","instant meal-00104572","00104572","instant meals","390","210","150","3.3","6"
"8","layer cake-00102647","00102647","confectionery","570","190","260","9.8","7"
"8","pastry w. fruit-00106171","00106171","confectionery","380","270","310","10.65","8"
"8","prezel-00107257","00107257","bakery products","540","230","260","10.06","9"
"8","herbs-00106519","00106519","herbs/spice","380","250","340","12.5","10"
"8","vegetables-00103919","00103919","vegetables","570","250","210","8.0","11"
"8","frozen yoghurt-00104003","00104003","dairy products","460","160","240","4.37","12"
"8","bread roll-00106708","00106708","bakery products","570","230","330","10.36","13"
"8","instant meal-00109895","00109895","instant meals","380","250","240","10.65","14"
"8","pastry w. vanilla stuffing-00102099","00102099","confectionery","290","210","210","5.5","15"
"8","squid-00105972","00105972","seafood","350","200","260","4.25","16"
"8","squid-00105972","00105972","seafood","350","200","260","4.25","17"
"8","prezel stick-00107782","00107782","bakery products","570","150","230","6.76","18"
"8","popsicle-00108872","00108872","ice cream","530","210","210","6.45","19"
"8","croissant-00109025","00109025","bakery products","550","280","110","8.4","20"
"8","side dish-00100653","00100653","side dish","560","230","230","7.62","21"
"8","leg of lamb-00107511","00107511","red meat","550","200","220","5.52","22"
"8","vegetables-00105119","00105119","vegetables","400","270","280","9.59","23"
"8","vegetables-00103914","00103914","vegetables","330","190","290","4.91","24"
"8","leg of lamb-00107512","00107512","red meat","590","200","200","8.25","25"
"8","muffin-00101974","00101974","candy","380","170","170","7.3","26"
"8","muffin-00101974","00101974","candy","380","170","170","7.3","27"
"8","ice cream in tub-00110711","00110711","ice cream","500","230","220","4.43","28"
"8","traybake-00100011","00100011","confectionery","570","150","230","7.12","29"
"8","bread-00104045","00104045","bakery products","490","220","250","4.0","30"
"8","backing parchment-00101126","00101126","non-food products","400","160","160","7.67","31"
"8","backing parchment-00101126","00101126","non-food products","400","160","160","7.67","32"
"8","muffin-00108181","00108181","candy","590","300","260","9.11","33"
"8","fruit-00106110","00106110","fruit","400","270","240","9.9","34"
"8","ciabatta-00103095","00103095","bakery products","590","200","210","7.67","35"
"8","sundae-00109068","00109068","ice cream","590","200","190","6.65","36"
"8","pizza w. salami-00112547","00112547","pizza","400","200","270","8.25","37"
"8","donut-00103846","00103846","confectionery","400","260","270","2.5","38"
"8","fish stick-00105948","00105948","fish","270","160","190","2.92","39"
"8","fish stick-00105948","00105948","fish","270","160","190","2.92","40"
"8","cake-00111275","00111275","confectionery","570","210","180","8.52","41"
"8","sundae-00106909","00106909","ice cream","290","200","190","5.75","42"
"8","sundae-00106909","00106909","ice cream","290","200","190","5.75","43"
"8","sundae-00106909","00106909","ice cream","290","200","190","5.75","44"
"8","burger-00109443","00109443","instant meals","260","200","260","2.91","45"
"8","burger-00109443","00109443","instant meals","260","200","260","2.91","46"
"8","chicken-00111632","00111632","poultry","370","200","270","7.85","47"
