"order_id","article","id","product_group","length","width","height","weight","sequence"
"12","donut-00101846","00101846","confectionery","580","380","160","7.42","1"
"12","bread roll-00109661","00109661","bakery products","600","395","320","6.996","2"
"12","panino-00109766","00109766","snack","595","400","300","9.4","3"
"12","lye bread roll-00102264","00102264","bakery products","400","265","160","6.678","4"
"12","bread roll-00101569","00101569","bakery products","595","400","255","6.9","5"
"12","bread roll-00103874","00103874","bakery products","595","400","300","9.4","6"
"12","donut-00102055","00102055","confectionery","585","395","265","7.208","7"
"12","bread roll-00106558","00106558","bakery products","590","400","295","6.996","8"
"12","traybake-00102673","00102673","confectionery","390","290","110","7.8","9"
"12","cutlet-00108909","00108909","instant meals","395","295","145","4.0","10"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","11"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","12"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","13"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","14"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","15"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","16"
"12","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","17"
"12","pastry w. fruit-00106385","00106385","confectionery","390","265","165","5.565","18"
"12","roll-00101154","00101154","bakery products","590","390","280","6.529","19"
