"order_id","article","id","product_group","length","width","height","weight","sequence"
"1","donut-00108595","00108595","confectionery","520","395","190","5.77","1"
"1","focaccia-00104520","00104520","snack","390","390","160","4.85","2"
"1","bread roll-00110459","00110459","bakery products","590","390","290","7.63","3"
"1","croissant-00103561","00103561","bakery products","595","400","300","9.4","4"
"1","side dish-00100654","00100654","side dish","580","390","125","4.7","5"
"1","dessert-00110396","00110396","candy","590","390","140","3.32","6"
"1","roll-00101154","00101154","bakery products","590","390","280","6.529","7"
"1","bread roll-00109670","00109670","bakery products","590","270","290","5.9","8"
"1","snack-00104774","00104774","snack","590","395","200","13.78","9"
"1","panino-00109766","00109766","snack","595","400","300","9.4","10"
"1","herbs-00104125","00104125","herbs/spice","390","290","120","2.544","11"
"1","baguette w. salami-00101428","00101428","snack","390","290","260","3.5","12"
"1","ciabatta-00101349","00101349","bakery products","590","390","280","6.529","13"
"1","brioche-00101316","00101316","confectionery","590","290","250","6.23","14"
"1","pizza crust-00112213","00112213","pizza","590","390","160","6.95","15"
"1","cheese-00101375","00101375","dairy products","590","395","130","4.664","16"
"1","pizza roll-00109968","00109968","pizza","590","390","160","6.95","17"
"1","bread roll-00110866","00110866","bakery products","580","390","240","6.527","18"
"1","fruit-00105433","00105433","fruit","380","300","170","5.72","19"
"1","roll-00102398","00102398","bakery products","590","395","295","9.4","20"
"1","bread roll-00101569","00101569","bakery products","595","400","255","6.9","21"
