"order_id","article","id","product_group","length","width","height","weight","sequence"
"20","bread-00101302","00101302","bakery products","600","400","240","6.996","1"
"20","ice cream-00105097","00105097","ice cream","390","280","240","10.6","2"
"20","rye bread roll-00110731","00110731","bakery products","590","395","295","9.8","3"
"20","cutlet-00108825","00108825","instant meals","580","380","125","7.7","4"
"20","cheese-00106562","00106562","dairy products","400","300","360","8.745","5"
"20","prawn-00104408","00104408","seafood","390","280","240","10.6","6"
"20","chicken leg-00105511","00105511","poultry","580","390","120","6.38","7"
"20","chicken leg-00105511","00105511","poultry","580","390","120","6.38","8"
"20","bread roll-00106669","00106669","bakery products","600","400","290","10.81","9"
"20","bread roll-00102125","00102125","bakery products","600","400","220","8.904","10"
"20","cheese-00106593","00106593","dairy products","600","400","280","8.056","11"
"20","pastry w. fruit-00102102","00102102","confectionery","405","290","180","4.295","12"
"20","roll-00101154","00101154","bakery products","590","390","280","6.529","13"
"20","roll-00101154","00101154","bakery products","590","390","280","6.529","14"
"20","roll-00101154","00101154","bakery products","590","390","280","6.529","15"
"20","baguette-00101162","00101162","bakery products","590","390","275","7.21","16"
"20","baguette-00101162","00101162","bakery products","590","390","275","7.21","17"
"20","baguette-00101167","00101167","bakery products","570","380","280","9.01","18"
