"order_id","article","id","product_group","length","width","height","weight","sequence"
"16","donut-00108594","00108594","confectionery","580","390","150","5.8","1"
"16","cheese-00100818","00100818","dairy products","380","290","100","2.04","2"
"16","ciabatta-00101349","00101349","bakery products","590","390","280","6.529","3"
"16","roll-00101154","00101154","bakery products","590","390","280","6.529","4"
"16","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","5"
"16","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","6"
"16","puff pastries-00104303","00104303","confectionery","580","390","220","6.4","7"
"16","pizza crust-00112213","00112213","pizza","590","390","160","6.95","8"
"16","layer cake-00105100","00105100","confectionery","390","295","325","7.632","9"
"16","layer cake-00105100","00105100","confectionery","390","295","325","7.632","10"
"16","bread roll-00110866","00110866","bakery products","580","390","240","6.527","11"
"16","roll-00104731","00104731","bakery products","590","400","290","10.0","12"
"16","cake-00107608","00107608","confectionery","400","300","220","3.29","13"
"16","donut-00108595","00108595","confectionery","520","395","190","5.77","14"
"16","cutlet filled w. ham & cheese-00106010","00106010","dairy products","395","295","190","4.3","15"
"16","plaice-00103176","00103176","fish","395","290","110","4.665","16"
"16","bread roll-00110459","00110459","bakery products","590","390","290","7.63","17"
"16","bread-00111732","00111732","bakery products","385","290","215","7.16","18"
"16","croissant-00102256","00102256","bakery products","390","380","170","6.36","19"
"16","panino-00109766","00109766","snack","595","400","300","9.4","20"
"16","pizza w. salami-00112221","00112221","pizza","395","390","210","7.2","21"
"16","spinach-00111708","00111708","vegetables","395","290","165","5.99","22"
"16","pizza w. multiple toppings-00112540","00112540","pizza","395","295","190","4.3","23"
"16","vegetables-00103918","00103918","vegetables","385","290","110","4.66","24"
