"order_id","article","id","product_group","length","width","height","weight","sequence"
"19","bread roll-00106463","00106463","bakery products","590","395","260","8.31","1"
"19","instant meal-00106400","00106400","instant meals","375","195","235","4.0","2"
"19","piece of cake-00110983","00110983","confectionery","580","380","190","5.915","3"
"19","layer cake-00110336","00110336","confectionery","395","380","205","7.64","4"
"19","side dish-00109692","00109692","side dish","400","300","200","7.63","5"
"19","pastry w. crumble topping-00111825","00111825","candy","400","295","260","4.664","6"
"19","cheese-00106593","00106593","dairy products","600","400","280","8.056","7"
"19","baguette-00101452","00101452","bakery products","590","400","295","6.307","8"
"19","pizza roll-00112513","00112513","pizza","395","270","160","7.632","9"
"19","fillet of fish-00106414","00106414","fish","400","300","150","4.876","10"
"19","pizza w. multiple toppings-00110044","00110044","pizza","400","390","210","6.4","11"
"19","sundae-00109617","00109617","ice cream","375","195","235","4.0","12"
"19","lye bread roll-00107754","00107754","bakery products","590","390","270","6.78","13"
"19","bread roll-00110459","00110459","bakery products","590","390","290","7.63","14"
"19","fruit-00105433","00105433","fruit","380","300","170","5.72","15"
"19","pastry w. fruit-00106385","00106385","confectionery","390","265","165","5.565","16"
"19","vegetables-00100993","00100993","vegetables","400","300","150","4.876","17"
"19","ciabatta-00101349","00101349","bakery products","590","390","280","6.529","18"
"19","muffin-00102065","00102065","candy","590","260","290","4.362","19"
"19","bread-00109731","00109731","bakery products","600","400","290","7.21","20"
"19","baguette-00101398","00101398","bakery products","595","400","295","6.11","21"
"19","spelt bread roll-00103747","00103747","bakery products","590","385","285","6.678","22"
