"order_id","article","id","product_group","length","width","height","weight","sequence"
"13","brioche-00108103","00108103","confectionery","600","200","220","5.0","1"
"13","trout-00104417","00104417","fish","560","230","230","7.62","2"
"13","trout-00104417","00104417","fish","560","230","230","7.62","3"
"13","croissant with piquant stuffing-00109718","00109718","snack","590","200","200","8.25","4"
"13","focaccia-00110061","00110061","snack","500","230","220","4.43","5"
"13","cake-00104251","00104251","confectionery","340","200","260","6.36","6"
"13","cake-00104251","00104251","confectionery","340","200","260","6.36","7"
"13","cake-00104251","00104251","confectionery","340","200","260","6.36","8"
"13","cake-00104251","00104251","confectionery","340","200","260","6.36","9"
"13","sesame-00110925","00110925","herbs/spice","590","190","220","7.1","10"
"13","sesame-00110925","00110925","herbs/spice","590","190","220","7.1","11"
"13","cake-00103363","00103363","confectionery","330","190","290","4.91","12"
"13","fries-00108033","00108033","potatoe products","590","200","210","7.67","13"
"13","fries-00108033","00108033","potatoe products","590","200","210","7.67","14"
"13","pizza w. tuna-00110321","00110321","pizza","590","300","260","9.11","15"
"13","pizza w. tuna-00110321","00110321","pizza","590","300","260","9.11","16"
"13","instant meal-00106398","00106398","instant meals","460","160","240","4.37","17"
"13","bread roll w. sweet stuffing-00111310","00111310","confectionery","550","220","310","7.9","18"
"13","vegetables-00106105","00106105","vegetables","560","170","240","4.49","19"
"13","donut-00105392","00105392","confectionery","490","220","250","4.0","20"
"13","pasta-00109491","00109491","side dish","300","210","230","5.27","21"
"13","instant meal-00104662","00104662","instant meals","560","170","200","4.71","22"
"13","instant meal-00104662","00104662","instant meals","560","170","200","4.71","23"
"13","cake-00106377","00106377","confectionery","260","160","260","2.29","24"
"13","cake-00106377","00106377","confectionery","260","160","260","2.29","25"
"13","burger-00110065","00110065","instant meals","600","190","160","5.53","26"
"13","fries-00100652","00100652","potatoe products","550","200","220","5.52","27"
"13","fries-00100652","00100652","potatoe products","550","200","220","5.52","28"
"13","herbs-00106515","00106515","herbs/spice","590","200","280","7.55","29"
"13","biscuits-00102856","00102856","confectionery","260","200","260","2.91","30"
"13","biscuits-00102856","00102856","confectionery","260","200","260","2.91","31"
"13","layer cake-00108484","00108484","confectionery","430","350","190","7.34","32"
"13","vegetables-00101306","00101306","vegetables","570","150","230","6.76","33"
"13","vegetables-00101306","00101306","vegetables","570","150","230","6.76","34"
"13","sundae-00106936","00106936","ice cream","260","160","260","2.5300000000000002","35"
"13","sundae-00106936","00106936","ice cream","260","160","260","2.5300000000000002","36"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","37"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","38"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","39"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","40"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","41"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","42"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","43"
"13","chicken nugget-00105522","00105522","poultry","270","160","190","2.92","44"
"13","cheese-00111777","00111777","dairy products","570","150","230","7.12","45"
"13","cheese-00111143","00111143","dairy products","530","210","210","6.45","46"
